date,tweet_id,Tweet
2020-12-11 00:42:51,1337196113212956679,"@wesrucker247 As a Duke grad and fan, I honestly think part of Coach K’s comments are because Duke stinks. He doesn… https://t.co/om6uCzbl7a"
2020-12-11 00:42:51,1337196113212956676,@lindz_malindz I even knew how to derive it.
2020-12-11 00:42:51,1337196113212952577,@realDonaldTrump Except for the worst president in history!!
2020-12-11 00:42:51,1337196113208758272,Please be Disco Elysium Switch or Gamepass
2020-12-11 00:42:51,1337196113208750081,"@gigc12341 Spring day 

I'm voting for #QuaranteamBTS in the #LockdownAwards on @livexlive @BTS_twt"
2020-12-11 00:42:51,1337196113204563968,RT @imhsides: MORE NUMBERS TO CALL !!! https://t.co/D8DJyWHo26
2020-12-11 00:42:51,1337196113200357378,DOCTOR STRANGE
2020-12-11 00:42:51,1337196113200214018,RT @Oni_misi_: Dating someone who can stay kind even during fights is very important
2020-12-11 00:42:51,1337196113196183553,"@arixminajx Hi @realDonaldTrump, I am asking you to please commute #BrandonBernard's sentence to life w/o parole, a… https://t.co/7BzUvmVVB5"
2020-12-11 00:42:51,1337196113196183552,@TerrierLee_ How’s she gonna afford it
2020-12-11 00:42:51,1337196113196040198,RT @RottenTomatoes: Rachel McAdams is set to return as Dr. Christine Palmer in the upcoming #DoctorStrange sequel. via @Deadline https://t.…
2020-12-11 00:42:51,1337196113191989251,@TOPolk I can def see both of them being added especially Dante. Monster Hunter would be a dope pick too seeing how… https://t.co/zbQXYz2l6x
2020-12-11 00:42:51,1337196113187786754,Feeling like that dope boy when he touched his first brick 🧱
2020-12-11 00:42:51,1337196113179234310,"RT @jikookhr: TOP 25 GAYEST JIKOOK MOMENTS pt.2 

#18. Jungkook lifting Jimin up in memories of 2019 https://t.co/NUgosMriJW"
2020-12-11 00:42:51,1337196113179230209,"@fuff_u Well you see, Fuff. When you see a hot boy you like very much in Smash..."
2020-12-11 00:42:51,1337196113179205634,RT @lisam60609: green is such a nice wonderful color.....mmmm green
2020-12-11 00:42:51,1337196113175130114,@abesuxx AHHH SHES THE BEST
2020-12-11 00:42:51,1337196113175093249,"RT @intohwan_: 📢FANPLUS UPDATE

📍Jinhwan and yunhyeong already reached 3M voted and we have now secured an ad for our math hyung and our ch…"
2020-12-11 00:42:51,1337196113175011330,"RT @mygtrivias: Retweet / Reply 

I’m voting for #QuaranteamBTS in #TheLockdownAwards on @LiveXLive (@BTS_twt)"
2020-12-11 00:42:51,1337196113170997249,"RT @MarvelStudios: ""We are an unusual couple."" Marvel Studios' @WandaVision, an Original Series, starts streaming Jan. 15 on #DisneyPlus. h…"
2020-12-11 00:42:51,1337196113170890754,"@CherylMarie2 Your dad sounds amazing. Nurses used to smoke too as I recall. And yes, a pack of Marlboro reds was a… https://t.co/IkvSqkVx3l"
